No.,MLLM,Class_Precision,Class_Recall,Class_F1,Relationship_Precision,Relationship_Recall,Relationship_F1
1,Claude,1,1,1,0.625,0.5556,0.5882
1,Grok,1,1,1,0.4286,0.3333,0.375
1,Mistral,0.8571,0.8571,0.8571,0.1429,0.1111,0.125
1,Gemini,1,1,1,0.6667,0.6667,0.6667
1,GPT,0.9286,0.9286,0.9286,0.3684,0.3889,0.3784
1,Qwen,1,1,1,1,0.89,0.94
2,Claude,0.9231,0.9231,0.9231,0.2,0.25,0.2222
2,Grok,0.5333,0.6154,0.5714,0,0,0
2,Mistral,0.4615,0.4615,0.4615,0.1538,0.1667,0.16
2,Gemini,0.6923,0.6923,0.6923,0.1818,0.1667,0.1739
2,GPT,0.1538,0.1538,0.1538,0.4,0.3333,0.3636
2,Qwen,0.9231,0.9321,0.9231,0.8,0.6667,0.7273
3,Claude,0.625,0.625,0.625,0.4167,0.4167,0.4167
3,Grok,0.25,0.25,0.25,0.7143,0.4167,0.5263
3,Mistral,0.25,0.25,0.25,0.5,0.4167,0.4545
3,Gemini,0.5,0.5,0.5,0.2069,0.5,0.2927
3,GPT,0.5,0.5,0.5,0.375,0.25,0.3
3,Qwen,0.75,0.75,0.75,0.375,0.5,0.4286
4,Claude,0.8125,0.6842,0.7429,0.4839,0.3261,0.3896
4,Grok,0.1667,0.1579,0.1622,0.5,0.2174,0.303
4,Mistral,0.2941,0.2632,0.2778,0.3103,0.1957,0.24
4,Gemini,0.3125,0.2632,0.2857,0.5385,0.4565,0.4941
4,GPT,0.4,0.1053,0.1667,0,0,0
4,Qwen,1,0.8421,0.9143,1,1,1
7,Claude,0.75,0.75,0.75,1,1,1
7,Grok,0,0,0,1,1,1
7,Mistral,0.25,0.25,0.25,1,1,1
7,Gemini,0.25,0.25,0.25,1,1,1
7,GPT,0.25,0.25,0.25,0.3333,0.3333,0.3333
7,Qwen,1,0.8421,0.9143,1,0.9538,0.9764
8,Claude,1,1,1,0.8235,0.8235,0.8235
8,Grok,0.75,0.75,0.75,0.8125,0.7647,0.7879
8,Mistral,0.5625,0.5625,0.5625,0.1333,0.1176,0.125
8,Gemini,0.875,0.875,0.875,0.8824,0.8824,0.8824
8,GPT,0.7222,0.8125,0.7647,0.3571,0.2941,0.3226
8,Qwen,0.9375,0.9375,0.9375,0.8235,0.8235,0.8235
9,Claude,0.9091,0.6667,0.7692,0.5455,0.4,0.4615
9,Grok,0.6,0.6,0.6,0.5,0.3333,0.4
9,Mistral,0.8462,0.7333,0.7857,0.2857,0.2667,0.2759
9,Gemini,0.8,0.8,0.8,0.3043,0.4667,0.3684
9,GPT,0.7273,0.5333,0.6154,0,0,0
9,Qwen,0.9091,0.667,0.7692,0.6875,0.7333,0.7097
10,Claude,1,1,1,0.1579,0.1579,0.1579
10,Grok,0.9231,0.9231,0.9231,0,0,0
10,Mistral,1,1,1,0.2,0.1579,0.1765
10,Gemini,1,1,1,0.1667,0.2105,0.186
10,GPT,1,1,1,0.1667,0.1053,0.129
10,Qwen,1,1,1,0.0952,0.1053,0.1
11,Claude,1,1,1,0.2,0.2,0.2
11,Grok,0.8,0.8,0.8,0.625,0.5,0.5556
11,Mistral,1,1,1,0.125,0.1,0.1111
11,Gemini,1,1,1,0.2727,0.3,0.2857
11,GPT,1,1,1,0.25,0.2,0.2222
11,Qwen,1,1,1,0.6667,0.6,0.6316
12,Claude,0.9333,0.9333,0.9333,0.3571,0.3571,0.3571
12,Grok,0.9333,0.9333,0.9333,0.4286,0.4286,0.4286
12,Mistral,1,1,1,0,0,0
12,Gemini,0.9333,0.9333,0.9333,0.4286,0.4286,0.4286
12,GPT,0.8824,1,0.9375,0.1429,0.1429,0.1429
12,Qwen,1,1,1,1,1,1
13,Claude,0.9615,1,0.9804,0.6053,0.7667,0.6765
13,Grok,0.6538,0.68,0.6667,0.3158,0.2,0.2449
13,Mistral,1,0.6,0.75,0.2821,0.3367,0.3188
13,Gemini,0.5769,0.6,0.5882,0.1739,0.2667,0.2105
13,GPT,0.9231,0.96,0.9412,0.1579,0.1,0.1224
13,Qwen,1,0.8,0.8889,0.2,0.3667,0.2558
14,Claude,0.5,0.5,0.5,0.4444,0.5385,0.5
14,Grok,0,0,0,0,0,0
14,Mistral,0,0,0,0,0,0
14,Gemini,0.5,0.5,0.5,0.2857,0.2857,0.2857
14,GPT,0,0,0,0,0,0
14,Qwen,1,1,1,0.4444,0.5714,0.5
15,Claude,0.9,1,0.9474,0.9231,0.9231,0.9231
15,Grok,0.9,1,0.9474,1,1,1
15,Mistral,1,0.7778,0.875,1,0.6923,0.8182
15,Gemini,0.7,0.7778,0.7368,0.3077,0.3077,0.3077
15,GPT,0.8889,0.8889,0.8889,0.2667,0.3077,0.2857
15,Qwen,1,0.7778,0.875,1,1,1
